split,auc,accuracy,f1,precision,recall,n_trades,avg_hold_return,avg_ann_return,win_rate_7pct,below_3pct_rate,negative_rate,trades_per_week,selected_quantile_q,selected_prob_floor
train,0.9158496540577242,0.6935131195335277,0.28789161727349705,0.6159420289855072,0.1878453038674033,276,0.029346218121029007,0.09113049866942217,0.6159420289855072,0.2898550724637681,0.21014492753623187,0.5009074410163339,0.5,0.0
valid,0.9352627363677087,0.4064625850340136,0.25267665952890794,0.9833333333333333,0.14496314496314497,60,0.05959365266293093,0.1852727115582454,0.9833333333333333,0.0,0.0,0.5042016806722689,0.5,0.0
test,0.7511838391378385,0.5874363327674024,0.2476780185758514,0.6666666666666666,0.1520912547528517,60,0.03278631794719095,0.10179209972410538,0.6666666666666666,0.2833333333333333,0.21666666666666667,0.5042016806722689,0.5,0.0
